show,description
Mastergate,"The show 'Mastergate' ran from 1989-09-24 to 1989-12-10. It had an average weekly revenue of $57,616.00 and a total revenue of $691,392.00."
Shirley Valentine,"The show 'Shirley Valentine' ran from 1989-02-12 to 1989-11-26. It had an average weekly revenue of $93,299.19 and a total revenue of $3,918,566.00."
The Circle,"The show 'The Circle' ran from 1989-11-19 to 1989-11-19. It had an average weekly revenue of $175,721.00 and a total revenue of $175,721.00."
Prince of Central Park,"The show 'Prince of Central Park' ran from 1989-10-29 to 1989-11-12. It had an average weekly revenue of $42,969.00 and a total revenue of $128,907.00."
The Secret Rapture,"The show 'The Secret Rapture' ran from 1989-10-15 to 1989-11-05. It had an average weekly revenue of $64,180.75 and a total revenue of $256,723.00."
Sid Caesar & Company,"The show 'Sid Caesar & Company' ran from 1989-10-29 to 1989-11-05. It had an average weekly revenue of $24,479.00 and a total revenue of $48,958.00."
Dangerous Games,"The show 'Dangerous Games' ran from 1989-10-15 to 1989-10-22. It had an average weekly revenue of $71,275.00 and a total revenue of $142,550.00."
"Mandy Patinkin in Concert: ""Dress Casual""","The show 'Mandy Patinkin in Concert: ""Dress Casual""' ran from 1989-07-30 to 1989-09-17. It had an average weekly revenue of $93,498.25 and a total revenue of $747,986.00."
Largely New York,"The show 'Largely New York' ran from 1989-04-23 to 1989-09-03. It had an average weekly revenue of $115,041.15 and a total revenue of $2,300,823.00."
Shenandoah,"The show 'Shenandoah' ran from 1989-07-30 to 1989-09-03. It had an average weekly revenue of $133,101.67 and a total revenue of $798,610.00."
Oh! Calcutta!,"The show 'Oh! Calcutta!' ran from 1985-06-09 to 1989-08-06. It had an average weekly revenue of $44,995.37 and a total revenue of $9,808,991.00."
Metamorphosis,"The show 'Metamorphosis' ran from 1989-03-05 to 1989-07-02. It had an average weekly revenue of $206,481.92 and a total revenue of $2,684,265.00."
Sarafina!,"The show 'Sarafina!' ran from 1988-01-24 to 1989-07-02. It had an average weekly revenue of $177,685.96 and a total revenue of $13,504,133.00."
Starmites,"The show 'Starmites' ran from 1989-03-26 to 1989-06-18. It had an average weekly revenue of $40,027.54 and a total revenue of $520,358.00."
Chu Chem,"The show 'Chu Chem' ran from 1989-03-19 to 1989-05-14. It had an average weekly revenue of $42,337.67 and a total revenue of $381,039.00."
Welcome to the Club,"The show 'Welcome to the Club' ran from 1989-04-02 to 1989-04-23. It had an average weekly revenue of $34,899.00 and a total revenue of $139,596.00."
Run for Your Wife,"The show 'Run for Your Wife' ran from 1989-02-26 to 1989-04-09. It had an average weekly revenue of $58,054.71 and a total revenue of $406,383.00."
Cafe Crown,"The show 'Cafe Crown' ran from 1989-02-19 to 1989-03-26. It had an average weekly revenue of $65,350.83 and a total revenue of $392,105.00."
Eastern Standard,"The show 'Eastern Standard' ran from 1989-01-08 to 1989-03-26. It had an average weekly revenue of $78,956.25 and a total revenue of $947,475.00."
Hizzoner!,"The show 'Hizzoner!' ran from 1989-02-12 to 1989-03-05. It had an average weekly revenue of $34,331.00 and a total revenue of $137,324.00."
The Devil's Disciple,"The show 'The Devil's Disciple' ran from 1988-10-23 to 1989-02-19. It had an average weekly revenue of $48,435.35 and a total revenue of $823,401.00."
Legs Diamond,"The show 'Legs Diamond' ran from 1988-10-30 to 1989-02-19. It had an average weekly revenue of $347,472.00 and a total revenue of $5,907,024.00."
Ain't Misbehavin',"The show 'Ain't Misbehavin'' ran from 1988-08-14 to 1989-01-15. It had an average weekly revenue of $231,863.96 and a total revenue of $5,332,871.00."
Romance / Romance,"The show 'Romance / Romance' ran from 1988-04-24 to 1989-01-15. It had an average weekly revenue of $82,591.38 and a total revenue of $3,221,064.00."
Senator Joe,"The show 'Senator Joe' ran from 1989-01-08 to 1989-01-08. It had an average weekly revenue of $5,661.00 and a total revenue of $5,661.00."
Starlight Express,"The show 'Starlight Express' ran from 1987-03-01 to 1989-01-08. It had an average weekly revenue of $434,918.69 and a total revenue of $42,622,032.00."
Checkmates,"The show 'Checkmates' ran from 1988-07-24 to 1989-01-01. It had an average weekly revenue of $99,863.62 and a total revenue of $2,396,727.00."
Spoils of War,"The show 'Spoils of War' ran from 1988-10-30 to 1988-12-11. It had an average weekly revenue of $91,437.00 and a total revenue of $640,059.00."
"Michael Feinstein in Concert: ""Isn't It Romantic""","The show 'Michael Feinstein in Concert: ""Isn't It Romantic""' ran from 1988-10-09 to 1988-11-06. It had an average weekly revenue of $155,867.80 and a total revenue of $779,339.00."
Broadway Bound,"The show 'Broadway Bound' ran from 1987-05-03 to 1988-09-25. It had an average weekly revenue of $138,867.96 and a total revenue of $9,859,625.00."
Canciones De Mi Padre,"The show 'Canciones De Mi Padre' ran from 1988-07-17 to 1988-07-31. It had an average weekly revenue of $211,707.33 and a total revenue of $635,122.00."
Juno and the Paycock,"The show 'Juno and the Paycock' ran from 1988-06-19 to 1988-07-03. It had an average weekly revenue of $104,119.33 and a total revenue of $312,358.00."
Chess,"The show 'Chess' ran from 1988-04-17 to 1988-06-26. It had an average weekly revenue of $346,031.18 and a total revenue of $3,806,343.00."
A Walk in the Woods,"The show 'A Walk in the Woods' ran from 1988-02-21 to 1988-06-26. It had an average weekly revenue of $79,920.21 and a total revenue of $1,518,484.00."
Michael Feinstein in Concert,"The show 'Michael Feinstein in Concert' ran from 1988-04-24 to 1988-06-12. It had an average weekly revenue of $128,929.12 and a total revenue of $1,031,433.00."
Carrie,"The show 'Carrie' ran from 1988-05-01 to 1988-05-15. It had an average weekly revenue of $113,798.67 and a total revenue of $341,396.00."
Mail,"The show 'Mail' ran from 1988-04-03 to 1988-05-15. It had an average weekly revenue of $54,749.43 and a total revenue of $383,246.00."
Oba Oba,"The show 'Oba Oba' ran from 1988-03-27 to 1988-05-08. It had an average weekly revenue of $81,036.14 and a total revenue of $567,253.00."
Breaking the Code,"The show 'Breaking the Code' ran from 1987-11-08 to 1988-04-10. It had an average weekly revenue of $179,342.55 and a total revenue of $3,945,536.00."
The Nerd,"The show 'The Nerd' ran from 1985-10-20 to 1988-04-10. It had an average weekly revenue of $61,313.15 and a total revenue of $3,740,102.00."
The Gospel at Colonus,"The show 'The Gospel at Colonus' ran from 1988-03-13 to 1988-03-20. It had an average weekly revenue of $89,368.00 and a total revenue of $178,736.00."
Penn & Teller,"The show 'Penn & Teller' ran from 1987-11-29 to 1988-03-20. It had an average weekly revenue of $157,419.20 and a total revenue of $2,361,288.00."
Serious Money,"The show 'Serious Money' ran from 1988-01-24 to 1988-02-21. It had an average weekly revenue of $82,687.00 and a total revenue of $413,435.00."
Coastal Disturbances,"The show 'Coastal Disturbances' ran from 1987-02-15 to 1988-01-03. It had an average weekly revenue of $51,919.17 and a total revenue of $2,440,201.00."
Jackie Mason's The World According to Me!,"The show 'Jackie Mason's The World According to Me!' ran from 1986-12-21 to 1988-01-03. It had an average weekly revenue of $160,245.93 and a total revenue of $8,813,526.00."
Don't Get God Started,"The show 'Don't Get God Started' ran from 1987-12-13 to 1987-12-13. It had an average weekly revenue of $130,474.00 and a total revenue of $130,474.00."
Sherlock's Last Case,"The show 'Sherlock's Last Case' ran from 1987-08-09 to 1987-12-06. It had an average weekly revenue of $117,892.06 and a total revenue of $2,122,057.00."
Dreamgirls,"The show 'Dreamgirls' ran from 1987-08-02 to 1987-11-22. It had an average weekly revenue of $185,844.11 and a total revenue of $1,672,597.00."
Mort Sahl on Broadway!,"The show 'Mort Sahl on Broadway!' ran from 1987-10-11 to 1987-11-01. It had an average weekly revenue of $48,203.75 and a total revenue of $192,815.00."
Late Nite Comic,"The show 'Late Nite Comic' ran from 1987-10-04 to 1987-10-18. It had an average weekly revenue of $32,552.33 and a total revenue of $97,657.00."
Roza,"The show 'Roza' ran from 1987-09-20 to 1987-10-11. It had an average weekly revenue of $139,832.50 and a total revenue of $559,330.00."
The Musical Comedy Murders of 1940,"The show 'The Musical Comedy Murders of 1940' ran from 1987-04-05 to 1987-08-02. It had an average weekly revenue of $60,640.94 and a total revenue of $1,091,537.00."
The Comedy of Errors,"The show 'The Comedy of Errors' ran from 1987-06-28 to 1987-06-28. It had an average weekly revenue of $100,030.00 and a total revenue of $100,030.00."
Sweet Sue,"The show 'Sweet Sue' ran from 1986-12-28 to 1987-05-31. It had an average weekly revenue of $107,235.48 and a total revenue of $2,466,416.00."
Stardust,"The show 'Stardust' ran from 1987-02-08 to 1987-05-17. It had an average weekly revenue of $51,757.40 and a total revenue of $776,361.00."
Asinamali!,"The show 'Asinamali!' ran from 1987-04-19 to 1987-05-10. It had an average weekly revenue of $26,427.00 and a total revenue of $105,708.00."
Sleight of Hand,"The show 'Sleight of Hand' ran from 1987-04-12 to 1987-05-10. It had an average weekly revenue of $61,828.20 and a total revenue of $309,141.00."
The Mikado,"The show 'The Mikado' ran from 1987-04-05 to 1987-05-03. It had an average weekly revenue of $98,060.40 and a total revenue of $490,302.00."
Barbara Cook: A Concert for the Theatre,"The show 'Barbara Cook: A Concert for the Theatre' ran from 1987-04-05 to 1987-04-26. It had an average weekly revenue of $46,850.50 and a total revenue of $187,402.00."
The Regard of Flight,"The show 'The Regard of Flight' ran from 1987-04-12 to 1987-04-26. It had an average weekly revenue of $77,429.00 and a total revenue of $232,287.00."
A Month of Sundays,"The show 'A Month of Sundays' ran from 1987-04-05 to 1987-04-19. It had an average weekly revenue of $44,140.33 and a total revenue of $132,421.00."
Safe Sex,"The show 'Safe Sex' ran from 1987-03-22 to 1987-04-12. It had an average weekly revenue of $63,765.50 and a total revenue of $255,062.00."
Death and the King's Horseman,"The show 'Death and the King's Horseman' ran from 1987-02-15 to 1987-03-29. It had an average weekly revenue of $67,745.86 and a total revenue of $474,221.00."
Social Security,"The show 'Social Security' ran from 1986-03-30 to 1987-03-22. It had an average weekly revenue of $142,540.63 and a total revenue of $7,412,113.00."
Stepping Out,"The show 'Stepping Out' ran from 1986-12-28 to 1987-03-15. It had an average weekly revenue of $83,878.50 and a total revenue of $1,006,542.00."
You Never Can Tell,"The show 'You Never Can Tell' ran from 1986-09-21 to 1987-01-25. It had an average weekly revenue of $60,722.00 and a total revenue of $1,153,718.00."
Wild Honey,"The show 'Wild Honey' ran from 1986-12-14 to 1987-01-11. It had an average weekly revenue of $120,724.80 and a total revenue of $603,624.00."
Arsenic and Old Lace,"The show 'Arsenic and Old Lace' ran from 1986-06-22 to 1987-01-04. It had an average weekly revenue of $133,137.24 and a total revenue of $3,860,980.00."
Oh Coward!,"The show 'Oh Coward!' ran from 1986-11-09 to 1987-01-04. It had an average weekly revenue of $20,555.56 and a total revenue of $185,000.00."
Smile,"The show 'Smile' ran from 1986-11-16 to 1987-01-04. It had an average weekly revenue of $200,693.25 and a total revenue of $1,605,546.00."
A Little Like Magic,"The show 'A Little Like Magic' ran from 1986-10-19 to 1986-12-07. It had an average weekly revenue of $33,125.00 and a total revenue of $265,000.00."
Song and Dance,"The show 'Song and Dance' ran from 1985-09-08 to 1986-11-09. It had an average weekly revenue of $209,753.45 and a total revenue of $13,004,714.00."
Into the Light,"The show 'Into the Light' ran from 1986-10-12 to 1986-10-26. It had an average weekly revenue of $30,384.33 and a total revenue of $91,153.00."
"Mummenschanz: ""The New Show""","The show 'Mummenschanz: ""The New Show""' ran from 1986-06-22 to 1986-10-26. It had an average weekly revenue of $10,000.00 and a total revenue of $190,000.00."
Raggedy Ann,"The show 'Raggedy Ann' ran from 1986-10-05 to 1986-10-19. It had an average weekly revenue of $52,208.33 and a total revenue of $156,625.00."
Rowan Atkinson at the Atkinson,"The show 'Rowan Atkinson at the Atkinson' ran from 1986-10-12 to 1986-10-19. It had an average weekly revenue of $26,651.50 and a total revenue of $53,303.00."
The Life and Adventures of Nicholas Nickleby,"The show 'The Life and Adventures of Nicholas Nickleby' ran from 1986-08-24 to 1986-10-12. It had an average weekly revenue of $267,037.25 and a total revenue of $2,136,298.00."
Cuba and His Teddy Bear,"The show 'Cuba and His Teddy Bear' ran from 1986-07-20 to 1986-09-21. It had an average weekly revenue of $150,308.60 and a total revenue of $1,503,086.00."
Rags,"The show 'Rags' ran from 1986-08-10 to 1986-08-24. It had an average weekly revenue of $195,693.67 and a total revenue of $587,081.00."
Honky Tonk Nights,"The show 'Honky Tonk Nights' ran from 1986-07-27 to 1986-08-10. It had an average weekly revenue of $26,288.33 and a total revenue of $78,865.00."
Benefactors,"The show 'Benefactors' ran from 1985-12-15 to 1986-06-29. It had an average weekly revenue of $157,661.97 and a total revenue of $4,572,197.00."
Biloxi Blues,"The show 'Biloxi Blues' ran from 1985-06-09 to 1986-06-29. It had an average weekly revenue of $192,154.52 and a total revenue of $10,760,653.00."
The Boys in Autumn,"The show 'The Boys in Autumn' ran from 1986-04-13 to 1986-06-29. It had an average weekly revenue of $36,689.25 and a total revenue of $440,271.00."
Loot,"The show 'Loot' ran from 1986-04-06 to 1986-06-29. It had an average weekly revenue of $82,723.08 and a total revenue of $1,075,400.00."
The Petition,"The show 'The Petition' ran from 1986-04-20 to 1986-06-29. It had an average weekly revenue of $80,280.45 and a total revenue of $883,085.00."
Big Deal,"The show 'Big Deal' ran from 1986-04-06 to 1986-06-08. It had an average weekly revenue of $227,030.90 and a total revenue of $2,270,309.00."
Singin' in the Rain,"The show 'Singin' in the Rain' ran from 1985-06-09 to 1986-05-18. It had an average weekly revenue of $262,471.42 and a total revenue of $13,123,571.00."
So Long on Lonely Street,"The show 'So Long on Lonely Street' ran from 1986-03-30 to 1986-05-18. It had an average weekly revenue of $14,957.38 and a total revenue of $119,659.00."
